Country Name;2019
Aruba;
Afghanistan;10699525
Angola;13164510
Albania;1319734
Andorra;
Arab World;138182934
United Arab Emirates;6840893
Argentina;20755018
Armenia;1303827
American Samoa;
Antigua and Barbuda;
Australia;13382706
Austria;4607129
Azerbaijan;5107354
Burundi;4983536
Belgium;5100709
Benin;4833197
Burkina Faso;7468061
Bangladesh;70009353
Bulgaria;3292122
Bahrain;978649
Bahamas, The;225914
Bosnia and Herzegovina;1306483
Belarus;5036848
Belize;178253
Bermuda;
Bolivia;5735705
Brazil;106500376
Barbados;155240
Brunei Darussalam;217318
Bhutan;379603
Botswana;1080713
Central African Republic;1915442
Canada;20466131
Central Europe and the Baltics;49258331
Switzerland;4981104
Channel Islands;84971
Chile;9558222
China;780839528
Cote d'Ivoire;8536685
Cameroon;11346288
Congo, Dem. Rep.;29741467
Congo, Rep.;2184140
Colombia;26788369
Comoros;223763
Cabo Verde;238193
Costa Rica;2474024
Caribbean small states;3405816
Cuba;5098232
Curacao;
Cayman Islands;
Cyprus;629329
Czech Republic;5424875
Germany;43406284
Djibouti;415074
Dominica;
Denmark;3026283
Dominican Republic;4993882
Algeria;12303850
East Asia & Pacific (excluding high income);1132283423
Early-demographic dividend;1304012306
East Asia & Pacific;1265482994
Europe & Central Asia (excluding high income);192863387
Europe & Central Asia;438818373
Ecuador;8545573
Egypt, Arab Rep.;30828442
Euro area;164928557
Eritrea;
Spain;22943908
Estonia;699160
Ethiopia;53195087
European Union;215763975
Fragile and conflict affected situations;257830771
Finland;2745494
Fiji;362574
France;30454910
Faroe Islands;
Micronesia, Fed. Sts.;
Gabon;722017
United Kingdom;34541393
Georgia;2032818
Ghana;12916874
Gibraltar;
Guinea;4443986
Gambia, The;779341
Guinea-Bissau;799520
Equatorial Guinea;529818
Greece;4767741
Grenada;
Greenland;
Guatemala;7250681
Guam;81798
Guyana;317434
High income;615653343
Hong Kong SAR, China;3954606
Honduras;4614534
Heavily indebted poor countries (HIPC);319459242
Croatia;1780110
Haiti;5080454
Hungary;4702655
IBRD only;2206311149
IDA & IBRD total;2855841237
IDA total;649530088
